ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8607309,HV280865,05/10/2012 09:20:00 PM,009XX S MONITOR AVE,0325,ROBBERY,VEHICULAR HIJACKING,VEHICLE NON-COMMERCIAL,false,false,1513,015,29,25,03,1137476,1895730,2012,07/14/2012 12:39:45 AM,41.87002714486053,-87.77075872751233,"(41.87002714486053, -87.77075872751233)"
8590538,HV264827,04/30/2012 02:00:00 PM,042XX N FRANCISCO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1724,017,33,16,08B,1156329,1928000,2012,05/03/2012 12:39:55 AM,41.958218764914825,-87.70066919793595,"(41.958218764914825, -87.70066919793595)"
8575111,HV249280,04/19/2012 11:30:00 AM,046XX S DEARBORN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,"SCHOOL, PUBLIC, GROUNDS",false,false,0215,002,3,38,26,1176803,1874024,2012,04/27/2012 12:38:42 AM,41.809666213152234,-87.62703308931843,"(41.809666213152234, -87.62703308931843)"
8557433,HV233337,04/08/2012 12:00:00 PM,013XX S FAIRFIELD AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1023,010,28,29,18,1158218,1893228,2012,04/11/2012 12:39:19 AM,41.86276312930499,-87.69467638131513,"(41.86276312930499, -87.69467638131513)"
8542028,HV217937,03/28/2012 11:40:00 AM,078XX S HERMITAGE AVE,0460,BATTERY,SIMPLE,STREET,false,false,0611,006,17,71,08B,1166001,1852738,2012,04/09/2012 12:44:47 PM,41.75149149317814,-87.66725781270259,"(41.75149149317814, -87.66725781270259)"
8524771,HV202273,03/17/2012 06:45:00 PM,080XX S INGLESIDE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0631,006,8,44,08A,1183996,1851999,2012,03/27/2012 12:00:00 AM,41.74906239325342,-87.6013382776144,"(41.74906239325342, -87.6013382776144)"
8508997,HV186308,03/06/2012 11:05:00 PM,067XX S SACRAMENTO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,true,false,0831,008,18,66,18,1157577,1859989,2012,03/27/2012 12:00:00 AM,41.77156416392705,-87.69793168572664,"(41.77156416392705, -87.69793168572664)"
8493406,HV170375,02/23/2012 09:45:00 PM,028XX N CLARK ST,0890,THEFT,FROM BUILDING,OTHER,false,false,1932,019,44,6,06,1171377,1919102,2012,03/27/2012 12:00:00 AM,41.933484143879674,-87.64561001634003,"(41.933484143879674, -87.64561001634003)"
8486669,HV157793,02/11/2012 05:00:00 PM,015XX N ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1433,014,1,24,07,1165405,1910331,2012,03/27/2012 12:00:00 AM,41.909545346958666,-87.66780682614447,"(41.909545346958666, -87.66780682614447)"
8461435,HV138646,01/30/2012 06:35:00 PM,013XX S CHRISTIANA AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1021,010,24,29,18,1154211,1893352,2012,03/27/2012 12:00:00 AM,41.863184253899,-87.7093823889168,"(41.863184253899, -87.7093823889168)"
8445017,HV122808,01/18/2012 02:55:00 PM,001XX E 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0512,005,9,49,03,1179081,1836670,2012,03/27/2012 12:00:00 AM,41.7071110271435,-87.61981418368514,"(41.7071110271435, -87.61981418368514)"
8428872,HV107019,01/06/2012 12:45:00 PM,001XX S DEARBORN ST,0320,ROBBERY,STRONGARM - NO WEAPON,SMALL RETAIL STORE,false,false,0112,001,42,32,03,1175921,1899506,2012,02/01/2012 12:00:00 AM,41.879610592578786,-87.6295021382324,"(41.879610592578786, -87.6295021382324)"
8413868,HT647040,12/25/2011 12:00:00 PM,016XX N LINDER AVE,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,STREET,false,false,2532,025,37,25,04A,1139452,1910159,2011,01/18/2012 12:42:35 AM,41.9095863601049,-87.76315211356872,"(41.9095863601049, -87.76315211356872)"
8398373,HT631159,12/14/2011 12:10:00 AM,016XX E 87TH ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0412,004,8,45,06,1188650,1847658,2011,12/16/2011 12:41:08 AM,41.73704035554646,-87.5844229183379,"(41.73704035554646, -87.5844229183379)"
8382099,HT614946,12/02/2011 06:00:00 PM,032XX W 56TH ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0822,008,14,63,08B,1155595,1867263,2011,12/05/2011 12:38:56 AM,41.79156504734735,-87.70500226091947,"(41.79156504734735, -87.70500226091947)"
8369019,HT601970,11/21/2011 03:00:00 PM,097XX S AVENUE L,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0432,004,10,52,14,1201751,1841219,2011,11/26/2011 12:40:46 AM,41.7190484061761,-87.53664424742423,"(41.7190484061761, -87.53664424742423)"
8350958,HT583997,11/10/2011 09:34:00 PM,046XX N SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1713,017,33,14,06,1155494,1930890,2011,11/13/2011 12:41:02 AM,41.96616597487828,-87.70366089563602,"(41.96616597487828, -87.70366089563602)"
8336429,HT570286,10/31/2011 11:00:00 AM,070XX S CONSTANCE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0332,003,5,43,11,1189801,1858523,2011,11/12/2011 12:42:11 AM,41.76682732684225,-87.57985746720104,"(41.76682732684225, -87.57985746720104)"
8325056,HT559356,10/21/2011 10:00:00 AM,047XX S GREENWOOD AVE,0810,THEFT,OVER $500,STREET,false,false,2124,002,4,39,06,1184334,1874001,2011,10/28/2011 12:39:43 AM,41.809429937545524,-87.59941162656128,"(41.809429937545524, -87.59941162656128)"
8302075,HT536426,10/10/2011 03:55:00 PM,022XX N CANNON DR,1330,CRIMINAL TRESPASS,TO LAND,PARK PROPERTY,true,false,1814,018,43,7,26,1175042,1915002,2011,10/11/2011 12:40:51 PM,41.92215212918474,-87.63226468178287,"(41.92215212918474, -87.63226468178287)"
8289059,HT523420,09/30/2011 01:00:00 PM,041XX W 52ND PL,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),false,false,0815,008,23,62,07,1149594,1869280,2011,10/21/2011 12:43:51 AM,41.797218251350024,-87.72695486312546,"(41.797218251350024, -87.72695486312546)"
8271608,HT505234,09/20/2011 06:55:00 AM,045XX N SHERIDAN RD,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,2313,019,46,3,06,1168830,1930526,2011,10/22/2011 12:45:45 AM,41.96488773752662,-87.65463758638505,"(41.96488773752662, -87.65463758638505)"
8260535,HT489892,09/10/2011 02:30:00 AM,038XX N ST LOUIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1732,017,35,16,07,1152408,1925514,2011,09/18/2011 12:39:57 AM,41.95147553836312,-87.71515021902265,"(41.95147553836312, -87.71515021902265)"
8240706,HT474347,08/31/2011 09:30:00 AM,005XX E 89TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0633,006,6,44,05,1181320,1845713,2011,09/08/2011 12:40:20 AM,41.73187494393363,-87.61133732168976,"(41.73187494393363, -87.61133732168976)"
8224505,HT458985,08/21/2011 03:45:00 PM,040XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2534,025,30,23,06,1148987,1910284,2011,08/24/2011 12:40:17 AM,41.90975009960669,-87.72812101580001,"(41.90975009960669, -87.72812101580001)"
8209697,HT443794,08/12/2011 12:26:00 AM,054XX S SHORE DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2132,002,5,41,18,1189246,1869602,2011,08/13/2011 12:40:14 AM,41.797242270811815,-87.58153668094879,"(41.797242270811815, -87.58153668094879)"
8194406,HT428545,08/02/2011 02:00:00 PM,107XX S PARNELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,2233,022,34,49,14,1174503,1833484,2011,08/10/2011 12:40:01 AM,41.69847104304216,-87.63667311969103,"(41.69847104304216, -87.63667311969103)"
8177644,HT412716,07/24/2011 02:15:00 AM,057XX S WINCHESTER AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0715,007,15,67,04B,1164378,1866559,2011,08/07/2011 12:38:06 AM,41.7894525186333,-87.67281638669161,"(41.7894525186333, -87.67281638669161)"
8162728,HT397399,07/14/2011 08:02:00 PM,008XX E 78TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0624,006,6,69,18,1183179,1853431,2011,07/16/2011 12:38:50 AM,41.75301098584611,-87.60428758255597,"(41.75301098584611, -87.60428758255597)"
8146677,HT381452,07/05/2011 02:00:00 PM,028XX W AUGUSTA BLVD,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1311,013,26,24,08A,1157353,1906569,2011,07/20/2011 12:40:08 AM,41.89938972946498,-87.69748886912424,"(41.89938972946498, -87.69748886912424)"
8145648,HT366157,06/26/2011 02:55:00 AM,019XX N HUMBOLDT BLVD,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENTIAL YARD (FRONT/BACK),false,false,1421,014,35,22,03,1156095,1913019,2011,08/04/2011 12:40:10 AM,41.917114572463284,-87.70193511338476,"(41.917114572463284, -87.70193511338476)"
8134091,HT360685,06/16/2011 08:40:00 PM,005XX W OHARE ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,1654,016,41,76,06,1106527,1935884,2011,07/01/2011 12:40:53 AM,41.98071651170563,-87.88361208823032,"(41.98071651170563, -87.88361208823032)"
8100477,HT334935,06/07/2011 11:00:00 AM,047XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0821,008,14,58,06,1155808,1872694,2011,06/08/2011 12:38:29 AM,41.80646419119948,-87.70407544072091,"(41.80646419119948, -87.70407544072091)"
8086299,HT319659,05/29/2011 12:30:00 AM,019XX S HAMLIN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1014,010,24,29,07,1151318,1890288,2011,07/03/2011 12:39:08 AM,41.85483348093031,-87.7200827478507,"(41.85483348093031, -87.7200827478507)"
8073885,HT304213,05/19/2011 07:30:00 AM,061XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0313,003,20,42,14,1182660,1864454,2011,05/23/2011 12:37:53 AM,41.78327123006105,-87.60584783005145,"(41.78327123006105, -87.60584783005145)"
8055171,HT286979,05/09/2011 12:21:00 PM,029XX W HARRISON ST,0560,ASSAULT,SIMPLE,STREET,false,true,1135,011,2,27,08A,1156971,1897268,2011,05/25/2011 12:39:00 PM,41.87387466999764,-87.6991444292211,"(41.87387466999764, -87.6991444292211)"
8040487,HT271776,04/29/2011 03:10:00 PM,003XX S CICERO AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,true,false,1533,015,24,25,04A,1144395,1898213,2011,04/30/2011 12:43:51 PM,41.87671356356041,-87.74529418912846,"(41.87671356356041, -87.74529418912846)"
8024023,HT255516,04/18/2011 03:00:00 PM,127XX S WALLACE ST,0460,BATTERY,SIMPLE,STREET,false,false,0523,005,9,53,08B,1174592,1820265,2011,04/28/2011 12:38:59 AM,41.66219403941015,-87.6367385745693,"(41.66219403941015, -87.6367385745693)"
8009682,HT240544,04/08/2011 01:45:00 PM,007XX W 117TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0524,005,34,53,08B,1173437,1827378,2011,04/27/2011 12:38:24 AM,41.68173882216618,-87.640756027647,"(41.68173882216618, -87.640756027647)"
7993133,HT224742,03/29/2011 01:30:00 PM,064XX S DR MARTIN LUTHER KING JR DR,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,true,false,0312,003,20,69,26,1179983,1862543,2011,03/30/2011 12:40:37 PM,41.778088991494805,-87.6157209792953,"(41.778088991494805, -87.6157209792953)"
7977315,HT209068,03/18/2011 02:55:00 PM,057XX S SAWYER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0822,008,14,63,14,1155654,1866429,2011,03/21/2011 12:37:38 AM,41.78927524828482,-87.70480827448749,"(41.78927524828482, -87.70480827448749)"
7970540,HT194149,03/08/2011 08:00:00 AM,001XX W 74TH ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,0731,007,6,69,26,1176580,1855882,2011,09/09/2011 12:43:19 AM,41.75988771848301,-87.62839656160983,"(41.75988771848301, -87.62839656160983)"
7945028,HT177016,02/24/2011 03:45:00 PM,009XX N LAMON AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1531,015,37,25,08B,1143485,1905563,2011,03/01/2011 12:39:38 AM,41.89689990103234,-87.74845152554683,"(41.89689990103234, -87.74845152554683)"
7926898,HT159722,02/13/2011 02:30:00 AM,037XX W 26TH ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1031,010,22,30,08B,1151934,1886427,2011,02/25/2011 12:39:33 AM,41.84422633161149,-87.71792330346084,"(41.84422633161149, -87.71792330346084)"
7912996,HT141595,01/29/2011 09:29:24 PM,029XX N WOODARD ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,1412,014,35,21,07,1153581,1919196,2011,02/06/2011 12:38:09 AM,41.9341151838426,-87.71100689157299,"(41.9341151838426, -87.71100689157299)"
